query,label1,label2,label3,label4,label5
A_0,0,1,1,0,0,
A_1,0,1,1,0,0,
A_2,0,1,1,0,0,
A_3,0,1,1,0,0,
A_4,0,1,1,0,0,
A_5,0,1,1,0,0,
A_6,0,1,1,0,0,
A_7,0,1,1,0,0,
A_8,0,1,1,0,0,
A_9,0,1,1,0,0,
B_0,0,0,0,0,0,
B_1,0,0,0,0,0,
B_2,0,0,0,0,0,
B_3,0,0,0,0,0,
B_4,0,0,0,0,0,
B_5,0,0,0,0,0,
B_6,0,0,0,0,0,
B_7,0,0,0,0,0,
B_8,0,0,0,0,0,
B_9,0,0,0,0,0,
C_0,1,1,0,1,1,
C_1,1,1,0,1,1,
C_2,1,1,0,1,1,
C_3,1,1,0,1,1,
C_4,1,1,0,1,1,
C_5,1,1,0,1,1,
C_6,1,1,0,1,1,
C_7,1,1,0,1,1,
C_8,1,1,0,1,1,
C_9,1,1,0,1,1,
D_0,1,1,1,0,0,
D_1,1,1,1,0,0,
D_2,1,1,1,0,0,
D_3,1,1,1,0,0,
D_4,1,1,1,0,0,
D_5,1,1,1,0,0,
D_6,1,1,1,0,0,
D_7,1,1,1,0,0,
D_8,1,1,1,0,0,
D_9,1,1,1,0,0,
E_0,1,1,1,1,1,
E_1,1,1,1,1,1,
E_2,1,1,1,1,1,
E_3,1,1,1,1,1,
E_4,1,1,1,1,1,
E_5,1,1,1,1,1,
E_6,1,1,1,1,1,
E_7,1,1,1,1,1,
E_8,1,1,1,1,1,
E_9,1,1,1,1,1,
