query,label1,label2,label3,label4,label5
A_0,1,0,1,0,0,
A_1,1,0,1,0,0,
A_2,1,0,1,0,0,
A_3,1,0,1,0,0,
A_4,1,0,1,0,0,
B_0,0,1,0,1,0,
B_1,0,1,0,1,0,
B_2,0,1,0,1,0,
B_3,0,1,0,1,0,
B_4,0,1,0,1,0,
C_0,0,0,0,0,0,
C_1,0,0,0,0,0,
C_2,0,0,0,0,0,
C_3,0,0,0,0,0,
C_4,0,0,0,0,0,
D_0,0,1,1,0,1,
D_1,0,1,1,0,1,
D_2,0,1,1,0,1,
D_3,0,1,1,0,1,
D_4,0,1,1,0,1,
E_0,1,1,0,0,1,
E_1,1,1,0,0,1,
E_2,1,1,0,0,1,
E_3,1,1,0,0,1,
E_4,1,1,0,0,1,
A_0,1,0,1,0,0,
A_1,1,0,1,0,0,
A_2,1,0,1,0,0,
A_3,1,0,1,0,0,
A_4,1,0,1,0,0,
B_0,0,0,1,0,0,
B_1,0,0,1,0,0,
B_2,0,0,1,0,0,
B_3,0,0,1,0,0,
B_4,0,0,1,0,0,
C_0,1,0,0,0,0,
C_1,1,0,0,0,0,
C_2,1,0,0,0,0,
C_3,1,0,0,0,0,
C_4,1,0,0,0,0,
D_0,1,0,1,0,0,
D_1,1,0,1,0,0,
D_2,1,0,1,0,0,
D_3,1,0,1,0,0,
D_4,1,0,1,0,0,
E_0,1,1,1,1,0,
E_1,1,1,1,1,0,
E_2,1,1,1,1,0,
E_3,1,1,1,1,0,
E_4,1,1,1,1,0,
A_0,1,1,1,1,1,
A_1,1,1,1,1,1,
A_2,1,1,1,1,1,
A_3,1,1,1,1,1,
A_4,1,1,1,1,1,
B_0,0,0,0,0,0,
B_1,0,0,0,0,0,
B_2,0,0,0,0,0,
B_3,0,0,0,0,0,
B_4,0,0,0,0,0,
C_0,0,1,1,1,1,
C_1,0,1,1,1,1,
C_2,0,1,1,1,1,
C_3,0,1,1,1,1,
C_4,0,1,1,1,1,
D_0,1,1,1,1,1,
D_1,1,1,1,1,1,
D_2,1,1,1,1,1,
D_3,1,1,1,1,1,
D_4,1,1,1,1,1,
E_0,1,1,1,1,1,
E_1,1,1,1,1,1,
E_2,1,1,1,1,1,
E_3,1,1,1,1,1,
E_4,1,1,1,1,1,
A_0,0,0,0,0,0,
A_1,0,0,0,0,0,
A_2,0,0,0,0,0,
A_3,0,0,0,0,0,
A_4,0,0,0,0,0,
B_0,0,0,0,0,0,
B_1,0,0,0,0,0,
B_2,0,0,0,0,0,
B_3,0,0,0,0,0,
B_4,0,0,0,0,0,
C_0,1,0,0,1,0,
C_1,1,0,0,1,0,
C_2,1,0,0,1,0,
C_3,1,0,0,1,0,
C_4,1,0,0,1,0,
D_0,0,0,0,0,0,
D_1,0,0,0,0,0,
D_2,0,0,0,0,0,
D_3,0,0,0,0,0,
D_4,0,0,0,0,0,
E_0,0,0,0,0,0,
E_1,0,0,0,0,0,
E_2,0,0,0,0,0,
E_3,0,0,0,0,0,
E_4,0,0,0,0,0,
A_0,1,1,0,0,0,
A_1,1,1,0,0,0,
A_2,1,1,0,0,0,
A_3,1,1,0,0,0,
A_4,1,1,0,0,0,
B_0,0,0,0,0,1,
B_1,0,0,0,0,1,
B_2,0,0,0,0,1,
B_3,0,0,0,0,1,
B_4,0,0,0,0,1,
C_0,1,0,1,0,1,
C_1,1,0,1,0,1,
C_2,1,0,1,0,1,
C_3,1,0,1,0,1,
C_4,1,0,1,0,1,
D_0,0,1,1,1,1,
D_1,0,1,1,1,1,
D_2,0,1,1,1,1,
D_3,0,1,1,1,1,
D_4,0,1,1,1,1,
E_0,0,0,0,0,0,
E_1,0,0,0,0,0,
E_2,0,0,0,0,0,
E_3,0,0,0,0,0,
E_4,0,0,0,0,0,
A_0,1,1,0,1,0,
A_1,1,1,0,1,0,
A_2,1,1,0,1,0,
A_3,1,1,0,1,0,
A_4,1,1,0,1,0,
B_0,1,1,1,0,0,
B_1,1,1,1,0,0,
B_2,1,1,1,0,0,
B_3,1,1,1,0,0,
B_4,1,1,1,0,0,
C_0,1,1,1,1,1,
C_1,1,1,1,1,1,
C_2,1,1,1,1,1,
C_3,1,1,1,1,1,
C_4,1,1,1,1,1,
D_0,0,0,0,1,1,
D_1,0,0,0,1,1,
D_2,0,0,0,1,1,
D_3,0,0,0,1,1,
D_4,0,0,0,1,1,
E_0,0,0,0,1,1,
E_1,0,0,0,1,1,
E_2,0,0,0,1,1,
E_3,0,0,0,1,1,
E_4,0,0,0,1,1,
A_0,0,0,0,0,0,
A_1,0,0,0,0,0,
A_2,0,0,0,0,0,
A_3,0,0,0,0,0,
A_4,0,0,0,0,0,
B_0,0,0,0,0,0,
B_1,0,0,0,0,0,
B_2,0,0,0,0,0,
B_3,0,0,0,0,0,
B_4,0,0,0,0,0,
C_0,0,0,0,0,0,
C_1,0,0,0,0,0,
C_2,0,0,0,0,0,
C_3,0,0,0,0,0,
C_4,0,0,0,0,0,
D_0,0,0,0,0,0,
D_1,0,0,0,0,0,
D_2,0,0,0,0,0,
D_3,0,0,0,0,0,
D_4,0,0,0,0,0,
E_0,0,0,1,0,0,
E_1,0,0,1,0,0,
E_2,0,0,1,0,0,
E_3,0,0,1,0,0,
E_4,0,0,1,0,0,
A_0,0,1,0,0,0,
A_1,0,1,0,0,0,
A_2,0,1,0,0,0,
A_3,0,1,0,0,0,
A_4,0,1,0,0,0,
B_0,0,0,0,0,0,
B_1,0,0,0,0,0,
B_2,0,0,0,0,0,
B_3,0,0,0,0,0,
B_4,0,0,0,0,0,
C_0,1,0,0,0,1,
C_1,1,0,0,0,1,
C_2,1,0,0,0,1,
C_3,1,0,0,0,1,
C_4,1,0,0,0,1,
D_0,1,1,0,0,0,
D_1,1,1,0,0,0,
D_2,1,1,0,0,0,
D_3,1,1,0,0,0,
D_4,1,1,0,0,0,
E_0,0,0,0,0,0,
E_1,0,0,0,0,0,
E_2,0,0,0,0,0,
E_3,0,0,0,0,0,
E_4,0,0,0,0,0,
A_0,1,1,1,1,1,
A_1,1,1,1,1,1,
A_2,1,1,1,1,1,
A_3,1,1,1,1,1,
A_4,1,1,1,1,1,
B_0,1,0,0,0,0,
B_1,1,0,0,0,0,
B_2,1,0,0,0,0,
B_3,1,0,0,0,0,
B_4,1,0,0,0,0,
C_0,1,1,1,1,0,
C_1,1,1,1,1,0,
C_2,1,1,1,1,0,
C_3,1,1,1,1,0,
C_4,1,1,1,1,0,
D_0,1,0,1,0,0,
D_1,1,0,1,0,0,
D_2,1,0,1,0,0,
D_3,1,0,1,0,0,
D_4,1,0,1,0,0,
E_0,0,1,1,0,1,
E_1,0,1,1,0,1,
E_2,0,1,1,0,1,
E_3,0,1,1,0,1,
E_4,0,1,1,0,1,
A_0,0,1,0,0,0,
A_1,0,1,0,0,0,
A_2,0,1,0,0,0,
A_3,0,1,0,0,0,
A_4,0,1,0,0,0,
B_0,0,0,0,0,0,
B_1,0,0,0,0,0,
B_2,0,0,0,0,0,
B_3,0,0,0,0,0,
B_4,0,0,0,0,0,
C_0,0,0,0,0,0,
C_1,0,0,0,0,0,
C_2,0,0,0,0,0,
C_3,0,0,0,0,0,
C_4,0,0,0,0,0,
D_0,1,0,1,0,0,
D_1,1,0,1,0,0,
D_2,1,0,1,0,0,
D_3,1,0,1,0,0,
D_4,1,0,1,0,0,
E_0,0,0,0,0,0,
E_1,0,0,0,0,0,
E_2,0,0,0,0,0,
E_3,0,0,0,0,0,
E_4,0,0,0,0,0,
A_0,0,0,0,1,0,
A_1,0,0,0,1,0,
A_2,0,0,0,1,0,
A_3,0,0,0,1,0,
A_4,0,0,0,1,0,
B_0,0,0,0,0,1,
B_1,0,0,0,0,1,
B_2,0,0,0,0,1,
B_3,0,0,0,0,1,
B_4,0,0,0,0,1,
C_0,0,0,1,0,1,
C_1,0,0,1,0,1,
C_2,0,0,1,0,1,
C_3,0,0,1,0,1,
C_4,0,0,1,0,1,
D_0,0,0,0,0,0,
D_1,0,0,0,0,0,
D_2,0,0,0,0,0,
D_3,0,0,0,0,0,
D_4,0,0,0,0,0,
E_0,0,0,0,0,0,
E_1,0,0,0,0,0,
E_2,0,0,0,0,0,
E_3,0,0,0,0,0,
E_4,0,0,0,0,0,
A_0,0,0,0,0,0,
A_1,0,0,0,0,0,
A_2,0,0,0,0,0,
A_3,0,0,0,0,0,
A_4,0,0,0,0,0,
B_0,0,0,0,0,0,
B_1,0,0,0,0,0,
B_2,0,0,0,0,0,
B_3,0,0,0,0,0,
B_4,0,0,0,0,0,
C_0,0,0,0,0,0,
C_1,0,0,0,0,0,
C_2,0,0,0,0,0,
C_3,0,0,0,0,0,
C_4,0,0,0,0,0,
D_0,0,0,0,0,0,
D_1,0,0,0,0,0,
D_2,0,0,0,0,0,
D_3,0,0,0,0,0,
D_4,0,0,0,0,0,
E_0,0,0,0,0,0,
E_1,0,0,0,0,0,
E_2,0,0,0,0,0,
E_3,0,0,0,0,0,
E_4,0,0,0,0,0,
A_0,0,0,0,0,0,
A_1,0,0,0,0,0,
A_2,0,0,0,0,0,
A_3,0,0,0,0,0,
A_4,0,0,0,0,0,
B_0,0,0,0,0,0,
B_1,0,0,0,0,0,
B_2,0,0,0,0,0,
B_3,0,0,0,0,0,
B_4,0,0,0,0,0,
C_0,0,0,0,0,0,
C_1,0,0,0,0,0,
C_2,0,0,0,0,0,
C_3,0,0,0,0,0,
C_4,0,0,0,0,0,
D_0,0,0,0,0,0,
D_1,0,0,0,0,0,
D_2,0,0,0,0,0,
D_3,0,0,0,0,0,
D_4,0,0,0,0,0,
E_0,0,0,0,0,0,
E_1,0,0,0,0,0,
E_2,0,0,0,0,0,
E_3,0,0,0,0,0,
E_4,0,0,0,0,0,
A_0,0,0,0,1,1,
A_1,0,0,0,1,1,
A_2,0,0,0,1,1,
A_3,0,0,0,1,1,
A_4,0,0,0,1,1,
B_0,1,1,1,1,1,
B_1,1,1,1,1,1,
B_2,1,1,1,1,1,
B_3,1,1,1,1,1,
B_4,1,1,1,1,1,
C_0,0,0,0,0,0,
C_1,0,0,0,0,0,
C_2,0,0,0,0,0,
C_3,0,0,0,0,0,
C_4,0,0,0,0,0,
D_0,0,0,0,1,1,
D_1,0,0,0,1,1,
D_2,0,0,0,1,1,
D_3,0,0,0,1,1,
D_4,0,0,0,1,1,
E_0,0,0,0,0,0,
E_1,0,0,0,0,0,
E_2,0,0,0,0,0,
E_3,0,0,0,0,0,
E_4,0,0,0,0,0,
A_0,0,0,0,0,1,
A_1,0,0,0,0,1,
A_2,0,0,0,0,1,
A_3,0,0,0,0,1,
A_4,0,0,0,0,1,
B_0,0,0,0,0,0,
B_1,0,0,0,0,0,
B_2,0,0,0,0,0,
B_3,0,0,0,0,0,
B_4,0,0,0,0,0,
C_0,0,0,1,0,0,
C_1,0,0,1,0,0,
C_2,0,0,1,0,0,
C_3,0,0,1,0,0,
C_4,0,0,1,0,0,
D_0,0,0,0,0,0,
D_1,0,0,0,0,0,
D_2,0,0,0,0,0,
D_3,0,0,0,0,0,
D_4,0,0,0,0,0,
E_0,0,0,0,0,0,
E_1,0,0,0,0,0,
E_2,0,0,0,0,0,
E_3,0,0,0,0,0,
E_4,0,0,0,0,0,
A_0,1,0,1,0,0,
A_1,1,0,1,0,0,
A_2,1,0,1,0,0,
A_3,1,0,1,0,0,
A_4,1,0,1,0,0,
B_0,1,1,0,1,0,
B_1,1,1,0,1,0,
B_2,1,1,0,1,0,
B_3,1,1,0,1,0,
B_4,1,1,0,1,0,
C_0,1,0,1,0,1,
C_1,1,0,1,0,1,
C_2,1,0,1,0,1,
C_3,1,0,1,0,1,
C_4,1,0,1,0,1,
D_0,1,1,0,1,0,
D_1,1,1,0,1,0,
D_2,1,1,0,1,0,
D_3,1,1,0,1,0,
D_4,1,1,0,1,0,
E_0,1,1,0,1,1,
E_1,1,1,0,1,1,
E_2,1,1,0,1,1,
E_3,1,1,0,1,1,
E_4,1,1,0,1,1,
A_0,1,0,1,0,0,
A_1,1,0,1,0,0,
A_2,1,0,1,0,0,
A_3,1,0,1,0,0,
A_4,1,0,1,0,0,
B_0,0,1,1,0,0,
B_1,0,1,1,0,0,
B_2,0,1,1,0,0,
B_3,0,1,1,0,0,
B_4,0,1,1,0,0,
C_0,0,0,0,0,0,
C_1,0,0,0,0,0,
C_2,0,0,0,0,0,
C_3,0,0,0,0,0,
C_4,0,0,0,0,0,
D_0,0,0,0,1,0,
D_1,0,0,0,1,0,
D_2,0,0,0,1,0,
D_3,0,0,0,1,0,
D_4,0,0,0,1,0,
E_0,0,0,1,0,0,
E_1,0,0,1,0,0,
E_2,0,0,1,0,0,
E_3,0,0,1,0,0,
E_4,0,0,1,0,0,
