query,label1,label2,label3,label4,label5
Company Policies_A_0,0,1,1,0,1,
Company Policies_A_1,0,1,1,0,1,
Company Policies_A_2,0,1,1,0,1,
Company Policies_A_3,0,1,1,0,1,
Company Policies_A_4,0,1,1,0,1,
Company Policies_B_0,0,1,1,0,0,
Company Policies_B_1,0,1,1,0,0,
Company Policies_B_2,0,1,1,0,0,
Company Policies_B_3,0,1,1,0,0,
Company Policies_B_4,0,1,1,0,0,
Company Policies_C_0,0,0,0,0,1,
Company Policies_C_1,0,0,0,0,1,
Company Policies_C_2,0,0,0,0,1,
Company Policies_C_3,0,0,0,0,1,
Company Policies_C_4,0,0,0,0,1,
Company Policies_D_0,1,0,1,1,1,
Company Policies_D_1,1,0,1,1,1,
Company Policies_D_2,1,0,1,1,1,
Company Policies_D_3,1,0,1,1,1,
Company Policies_D_4,1,0,1,1,1,
Company Policies_E_0,1,0,1,1,1,
Company Policies_E_1,1,0,1,1,1,
Company Policies_E_2,1,0,1,1,1,
Company Policies_E_3,1,0,1,1,1,
Company Policies_E_4,1,0,1,1,1,
Cybersecurity News_A_0,0,0,0,0,0,
Cybersecurity News_A_1,0,0,0,0,0,
Cybersecurity News_A_2,0,0,0,0,0,
Cybersecurity News_A_3,0,0,0,0,0,
Cybersecurity News_A_4,0,0,0,0,0,
Cybersecurity News_B_0,0,0,0,1,0,
Cybersecurity News_B_1,0,0,0,1,0,
Cybersecurity News_B_2,0,0,0,1,0,
Cybersecurity News_B_3,0,0,0,1,0,
Cybersecurity News_B_4,0,0,0,1,0,
Cybersecurity News_C_0,0,0,0,0,0,
Cybersecurity News_C_1,0,0,0,0,0,
Cybersecurity News_C_2,0,0,0,0,0,
Cybersecurity News_C_3,0,0,0,0,0,
Cybersecurity News_C_4,0,0,0,0,0,
Cybersecurity News_D_0,0,0,0,0,0,
Cybersecurity News_D_1,0,0,0,0,0,
Cybersecurity News_D_2,0,0,0,0,0,
Cybersecurity News_D_3,0,0,0,0,0,
Cybersecurity News_D_4,0,0,0,0,0,
Cybersecurity News_E_0,1,1,0,0,0,
Cybersecurity News_E_1,1,1,0,0,0,
Cybersecurity News_E_2,1,1,0,0,0,
Cybersecurity News_E_3,1,1,0,0,0,
Cybersecurity News_E_4,1,1,0,0,0,
Incident Report_A_0,1,1,1,1,1,
Incident Report_A_1,1,1,1,1,1,
Incident Report_A_2,1,1,1,1,1,
Incident Report_A_3,1,1,1,1,1,
Incident Report_A_4,1,1,1,1,1,
Incident Report_B_0,0,0,0,1,1,
Incident Report_B_1,0,0,0,1,1,
Incident Report_B_2,0,0,0,1,1,
Incident Report_B_3,0,0,0,1,1,
Incident Report_B_4,0,0,0,1,1,
Incident Report_C_0,0,1,1,1,1,
